name,ticker_bourso,isin,detail_url,last,variation,high,low,volume,raw_data_ist_init
BASTIDE LE CONFORT MED.,1rPBLC,FR0000035370,https://www.boursorama.com/cours/1rPBLC/,23.45,0.010775862068966,23.5,23.2,,"{""symbol"":""1rPBLC"",""variation"":0.010775862068966,""last"":23.45,""previousClose"":23.2,""high"":23.5,""low"":23.2,""totalVolume"":298,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:22:59"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":24.6,""lowLimit"":22.3,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BELIEVE,1rPBLV,FR0014003FE9,https://www.boursorama.com/cours/1rPBLV/,17.2,0,0,0,,"{""symbol"":""1rPBLV"",""variation"":0,""last"":17.2,""previousClose"":17.2,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""PAR"",""tradeDate"":""2025-07-21 17:35:13"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":18.92,""lowLimit"":15.6348,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BENETEAU,1rPBEN,FR0000035164,https://www.boursorama.com/cours/1rPBEN/,6.77,0,6.875,6.75,,"{""symbol"":""1rPBEN"",""variation"":0,""last"":6.77,""previousClose"":6.77,""high"":6.875,""low"":6.75,""totalVolume"":22015,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:55:25"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":7.105,""lowLimit"":6.435,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BERNARD LOISEAU,1rPALDBL,FR0000066961,https://www.boursorama.com/cours/1rPALDBL/,3.38,0,0,0,,"{""symbol"":""1rPALDBL"",""variation"":0,""last"":3.38,""previousClose"":3.38,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-26 11:30:05"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":4.4,""lowLimit"":2.96,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BIGBEN INTERACTIVE,1rPBIG,FR0000074072,https://www.boursorama.com/cours/1rPBIG/,0.271,0.0037037037037037,0.273,0.27,,"{""symbol"":""1rPBIG"",""variation"":0.0037037037037037,""last"":0.271,""previousClose"":0.27,""high"":0.273,""low"":0.27,""totalVolume"":9342,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:20:08"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.2845,""lowLimit"":0.2575,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BILENDI,1rPALBLD,FR0004174233,https://www.boursorama.com/cours/1rPALBLD/,13.4,0.011320754716981,13.8,13.1,,"{""symbol"":""1rPALBLD"",""variation"":0.011320754716981,""last"":13.4,""previousClose"":13.25,""high"":13.8,""low"":13.1,""totalVolume"":4560,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:58:41"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":14.05,""lowLimit"":12.75,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BIO-INOX,1rPMLNOX,FR001400UBS7,https://www.boursorama.com/cours/1rPMLNOX/,0,-1,0,0,,"{""symbol"":""1rPMLNOX"",""variation"":-1,""last"":0,""previousClose"":9.49,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""PAR"",""tradeDate"":""0000-00-00 00:00:00"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":10.4,""lowLimit"":8.55,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BIO-UV GRP,1rPALTUV,FR0013345493,https://www.boursorama.com/cours/1rPALTUV/,1.282,-0.009273570324575,1.296,1.28,,"{""symbol"":""1rPALTUV"",""variation"":-0.009273570324575,""last"":1.282,""previousClose"":1.294,""high"":1.296,""low"":1.28,""totalVolume"":5628,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:53:52"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":1.346,""lowLimit"":1.218,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BIOCORP,1rPALCOR,FR0012788065,https://www.boursorama.com/cours/1rPALCOR/,35.1,2.7142857142857,0,0,,"{""symbol"":""1rPALCOR"",""variation"":2.7142857142857,""last"":35.1,""previousClose"":9.45,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""PAR"",""tradeDate"":""2023-09-27 17:11:01"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":0.0002,""lowLimit"":0.0002,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BIOPHYTIS,1rPALBPS,FR001400OLP5,https://www.boursorama.com/cours/1rPALBPS/,0.0189,-0.030769230769231,0.0205,0.0189,,"{""symbol"":""1rPALBPS"",""variation"":-0.030769230769231,""last"":0.0189,""previousClose"":0.0195,""high"":0.0205,""low"":0.0189,""totalVolume"":462483,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:55:23"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.0567,""lowLimit"":0.0001,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BIOSYNEX,1rPALBIO,FR0011005933,https://www.boursorama.com/cours/1rPALBIO/,0.8,0,0.8,0.8,,"{""symbol"":""1rPALBIO"",""variation"":0,""last"":0.8,""previousClose"":0.8,""high"":0.8,""low"":0.8,""totalVolume"":2,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 10:44:25"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.84,""lowLimit"":0.76,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BLUE SHARK PS,1rPMLBSP,FR0013340973,https://www.boursorama.com/cours/1rPMLBSP/,3.3,0,0,0,,"{""symbol"":""1rPMLBSP"",""variation"":0,""last"":3.3,""previousClose"":3.3,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-26 11:30:02"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":3.3,""lowLimit"":2.7,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BLUELINEA,1rPALBLU,FR0011041011,https://www.boursorama.com/cours/1rPALBLU/,0.49,-0.016064257028112,0.498,0.49,,"{""symbol"":""1rPALBLU"",""variation"":-0.016064257028112,""last"":0.49,""previousClose"":0.498,""high"":0.498,""low"":0.49,""totalVolume"":251,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 09:18:32"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.51,""lowLimit"":0.466,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BOA CONCEPT,1rPALBOA,FR0011365907,https://www.boursorama.com/cours/1rPALBOA/,11.7,0.058823529411765,11.7,11.4,,"{""symbol"":""1rPALBOA"",""variation"":0.058823529411765,""last"":11.7,""previousClose"":11.05,""high"":11.7,""low"":11.4,""totalVolume"":70,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:17:48"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":12.25,""lowLimit"":11.15,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BODY ONE,1rPMLONE_OTC,FR0010106039,https://www.boursorama.com/cours/1rPMLONE-OTC/,0.88,0.035294117647059,0.88,0.88,,"{""symbol"":""1rPMLONE-OTC"",""variation"":0.035294117647059,""last"":0.88,""previousClose"":0.85,""high"":0.88,""low"":0.88,""totalVolume"":151,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:30:15"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.88,""lowLimit"":0.72,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BOIRON,1rPBOI,FR0000061129,https://www.boursorama.com/cours/1rPBOI/,27.2,0.026415094339623,27.2,25.55,,"{""symbol"":""1rPBOI"",""variation"":0.026415094339623,""last"":27.2,""previousClose"":26.5,""high"":27.2,""low"":25.55,""totalVolume"":2250,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:50:03"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":28.55,""lowLimit"":25.85,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BONDUELLE,1rPBON,FR0000063935,https://www.boursorama.com/cours/1rPBON/,8.45,0.029232643118148,8.46,8.23,,"{""symbol"":""1rPBON"",""variation"":0.029232643118148,""last"":8.45,""previousClose"":8.21,""high"":8.46,""low"":8.23,""totalVolume"":4718,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:44:02"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":8.87,""lowLimit"":8.03,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BONYF,1rPMLBON,BE6333353298,https://www.boursorama.com/cours/1rPMLBON/,4.48,0,0,0,,"{""symbol"":""1rPMLBON"",""variation"":0,""last"":4.48,""previousClose"":4.48,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""PAR"",""tradeDate"":""2026-02-25 16:30:08"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":3.86,""lowLimit"":3.18,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BOOSTHEAT,1rPALBOO,FR00140153G5,https://www.boursorama.com/cours/1rPALBOO/,0.74,-0.013333333333333,0.74,0.74,,"{""symbol"":""1rPALBOO"",""variation"":-0.013333333333333,""last"":0.74,""previousClose"":0.75,""high"":0.74,""low"":0.74,""totalVolume"":505,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 09:18:09"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.776,""lowLimit"":0.704,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BOURRELIER GRP,1rPALBOU,FR0000054421,https://www.boursorama.com/cours/1rPALBOU/,48.6,0.0041322314049587,48.6,48.6,,"{""symbol"":""1rPALBOU"",""variation"":0.0041322314049587,""last"":48.6,""previousClose"":48.4,""high"":48.6,""low"":48.6,""totalVolume"":10,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:30:05"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":54,""lowLimit"":36,""valorization"":0,""shares"":0,""tradeCapital"":0}"
B&S GROUP,1rABSGR,LU1789205884,https://www.boursorama.com/cours/1rABSGR/,5.85,0,0,0,,"{""symbol"":""1rABSGR"",""variation"":0,""last"":5.85,""previousClose"":5.85,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""AMS"",""tradeDate"":""2025-12-22 17:35:23"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":6.435,""lowLimit"":5.31765,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BASIC-FIT,1rABFIT,NL0011872650,https://www.boursorama.com/cours/1rABFIT/,29.3,0.010344827586207,29.34,28.82,,"{""symbol"":""1rABFIT"",""variation"":0.010344827586207,""last"":29.3,""previousClose"":29,""high"":29.34,""low"":28.82,""totalVolume"":31351,""exchangeCode"":""AMS"",""tradeDate"":""2026-03-31 11:43:25"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":30.76,""lowLimit"":27.84,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BENEVOLENTAI,1rABAI,LU2355630455,https://www.boursorama.com/cours/1rABAI/,0.081,0,0,0,,"{""symbol"":""1rABAI"",""variation"":0,""last"":0.081,""previousClose"":0.081,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""AMS"",""tradeDate"":""2025-03-12 17:38:47"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":0.0891,""lowLimit"":0.07363,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BRUNEL INTL,1rABRNL,NL0010776944,https://www.boursorama.com/cours/1rABRNL/,6.55,0.013931888544892,6.55,6.45,,"{""symbol"":""1rABRNL"",""variation"":0.013931888544892,""last"":6.55,""previousClose"":6.46,""high"":6.55,""low"":6.45,""totalVolume"":33360,""exchangeCode"":""AMS"",""tradeDate"":""2026-03-31 11:37:03"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":6.87,""lowLimit"":6.23,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BANIMMO,FF11_BANI,BE0003870871,https://www.boursorama.com/cours/FF11-BANI/,2.86,0,2.86,2.86,,"{""symbol"":""FF11-BANI"",""variation"":0,""last"":2.86,""previousClose"":2.86,""high"":2.86,""low"":2.86,""totalVolume"":1050,""exchangeCode"":""BEL"",""tradeDate"":""2026-03-31 09:00:12"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":3,""lowLimit"":2.72,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BANQUP GRP,FF11_BANQ,BE0974371032,https://www.boursorama.com/cours/FF11-BANQ/,2.91,0.003448275862069,2.91,2.86,,"{""symbol"":""FF11-BANQ"",""variation"":0.003448275862069,""last"":2.91,""previousClose"":2.9,""high"":2.91,""low"":2.86,""totalVolume"":1840,""exchangeCode"":""BEL"",""tradeDate"":""2026-03-31 10:18:49"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":3.05,""lowLimit"":2.77,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BARCO,FF11_BAR,BE0974362940,https://www.boursorama.com/cours/FF11-BAR/,9.38,-0.033487892838743,9.58,9.32,,"{""symbol"":""FF11-BAR"",""variation"":-0.033487892838743,""last"":9.38,""previousClose"":9.705,""high"":9.58,""low"":9.32,""totalVolume"":62491,""exchangeCode"":""BEL"",""tradeDate"":""2026-03-31 11:39:14"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":9.845,""lowLimit"":8.915,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BEKAERT,FF11_BEKB,BE0974258874,https://www.boursorama.com/cours/FF11-BEKB/,39.65,0.0063451776649746,39.8,39.3,,"{""symbol"":""FF11-BEKB"",""variation"":0.0063451776649746,""last"":39.65,""previousClose"":39.4,""high"":39.8,""low"":39.3,""totalVolume"":4893,""exchangeCode"":""BEL"",""tradeDate"":""2026-03-31 11:39:40"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":41.6,""lowLimit"":37.7,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BELYSSE GRP,FF11_BELYS,BE0974314461,https://www.boursorama.com/cours/FF11-BELYS/,0.615,-0.0080645161290323,0.615,0.615,,"{""symbol"":""FF11-BELYS"",""variation"":-0.0080645161290323,""last"":0.615,""previousClose"":0.62,""high"":0.615,""low"":0.615,""totalVolume"":8153,""exchangeCode"":""BEL"",""tradeDate"":""2026-03-31 09:41:09"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.675,""lowLimit"":0.555,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BIOCARTIS GR-UNTY,FF11_BCART,BE0974281132,https://www.boursorama.com/cours/FF11-BCART/,0.29,0,0,0,,"{""symbol"":""FF11-BCART"",""variation"":0,""last"":0.29,""previousClose"":0.29,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""BEL"",""tradeDate"":""2023-09-22 17:35:06"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":0.319,""lowLimit"":0.26361,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BIOSENIC,FF11_BIOS,BE0974280126,https://www.boursorama.com/cours/FF11-BIOS/,0.0023,0,0.0023,0.0022,,"{""symbol"":""FF11-BIOS"",""variation"":0,""last"":0.0023,""previousClose"":0.0023,""high"":0.0023,""low"":0.0022,""totalVolume"":3337,""exchangeCode"":""BEL"",""tradeDate"":""2026-03-31 10:27:40"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.0069,""lowLimit"":0.002,""valorization"":0,""shares"":0,""tradeCapital"":0}"
BIOTALYS,FF11_BTLS,BE0974386188,https://www.boursorama.com/cours/FF11-BTLS/,1.66,-0.017751479289941,1.7,1.65,,"{""symbol"":""FF11-BTLS"",""variation"":-0.017751479289941,""last"":1.66,""previousClose"":1.69,""high"":1.7,""low"":1.65,""totalVolume"":5747,""exchangeCode"":""BEL"",""tradeDate"":""2026-03-31 11:31:29"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":1.74,""lowLimit"":1.58,""valorization"":0,""shares"":0,""tradeCapital"":0}"
