date,isin,open,high,low,close,volume
2025-03-31,FR0000050353,29.278032466433327,29.278032466433327,28.538688231222885,28.7358455657959,6354
2025-04-01,FR0000050353,28.883715540224973,29.179454377852533,28.735847061536052,28.933006286621094,5920
2025-04-02,FR0000050353,28.883715735353263,28.982295348561752,28.193662203393302,28.390819549560547,9498
2025-04-03,FR0000050353,27.84863430824657,28.538689715772037,27.405026991944524,28.045793533325195,16108
2025-04-04,FR0000050353,27.750054448636554,27.750054448636554,25.877049348064673,26.369945526123047,32131
2025-04-07,FR0000050353,26.07420791108412,26.912129888364042,24.89125636160123,25.334863662719727,40896
2025-04-08,FR0000050353,25.63060103951947,26.271365689457518,25.63060103951947,26.024917602539062,15926
2025-04-09,FR0000050353,26.074208118756424,26.074208118756424,24.743388085051052,25.679889678955078,17610
2025-04-10,FR0000050353,26.468523865545006,27.257156960431978,26.3206553952849,26.517812728881836,25684
2025-04-11,FR0000050353,26.96142152410938,26.96142152410938,25.384153366088867,25.384153366088867,13603
2025-04-14,FR0000050353,26.02491656234481,26.123496169221983,25.137703860949458,26.074207305908203,20040
2025-04-15,FR0000050353,26.074209000934328,27.109290239808956,26.074209000934328,27.060001373291016,8283
2025-04-16,FR0000050353,26.961420494528067,27.257157440254293,26.764261277210817,27.207868576049805,3296
2025-04-17,FR0000050353,27.306448592970746,27.306448592970746,26.813552422557912,27.010709762573242,3709
2025-04-22,FR0000050353,27.01070976485889,27.01070976485889,26.41923398426351,26.56710433959961,6393
2025-04-23,FR0000050353,26.616392335805113,26.81355154965166,26.3206553952849,26.517812728881836,9267
2025-04-24,FR0000050353,26.12349680827585,26.714972583758442,25.877048725178906,26.665681838989258,25816
2025-04-25,FR0000050353,26.616393387193295,26.86284147411175,25.72918065033679,26.024917602539062,15777
2025-04-28,FR0000050353,26.02491700203203,26.813551990123692,25.827759665196346,26.76426124572754,46690
2025-04-29,FR0000050353,26.71497366691623,27.602186425987302,26.71497366691623,27.060001373291016,11425
2025-04-30,FR0000050353,27.299999237060547,27.649999618530273,27.0,27.649999618530273,17896
2025-05-02,FR0000050353,27.700000762939453,28.149999618530273,27.700000762939453,28.100000381469727,15368
2025-05-05,FR0000050353,28.100000381469727,28.100000381469727,27.649999618530273,27.899999618530273,3636
2025-05-06,FR0000050353,27.899999618530273,28.299999237060547,27.5,27.950000762939453,11141
2025-05-07,FR0000050353,27.950000762939453,28.200000762939453,27.649999618530273,27.75,6892
2025-05-08,FR0000050353,28.049999237060547,28.350000381469727,27.899999618530273,28.299999237060547,5861
2025-05-09,FR0000050353,28.200000762939453,28.5,28.149999618530273,28.299999237060547,4659
2025-05-12,FR0000050353,28.549999237060547,29.200000762939453,27.950000762939453,29.200000762939453,9660
2025-05-13,FR0000050353,29.100000381469727,29.899999618530273,29.100000381469727,29.799999237060547,7302
2025-05-14,FR0000050353,29.799999237060547,30.200000762939453,29.5,29.950000762939453,16440
2025-05-15,FR0000050353,29.450000762939453,29.950000762939453,29.200000762939453,29.549999237060547,85884
2025-05-16,FR0000050353,29.5,30.200000762939453,29.149999618530273,30.200000762939453,88212
2025-05-19,FR0000050353,29.850000381469727,30.149999618530273,29.399999618530273,29.700000762939453,15204
2025-05-20,FR0000050353,29.700000762939453,30.200000762939453,29.600000381469727,30.049999237060547,17884
2025-05-21,FR0000050353,30.0,31.200000762939453,30.0,31.149999618530273,39137
2025-05-22,FR0000050353,31.200000762939453,31.5,31.0,31.299999237060547,9500
2025-05-23,FR0000050353,31.25,31.75,30.850000381469727,31.5,23254
2025-05-26,FR0000050353,31.399999618530273,32.29999923706055,31.25,31.850000381469727,10027
2025-05-27,FR0000050353,31.799999237060547,32.70000076293945,31.799999237060547,32.099998474121094,25529
2025-05-28,FR0000050353,32.150001525878906,32.79999923706055,32.099998474121094,32.29999923706055,23256
2025-05-29,FR0000050353,32.400001525878906,32.54999923706055,31.799999237060547,32.0,13992
2025-05-30,FR0000050353,32.0,32.70000076293945,31.75,32.650001525878906,30156
2025-06-02,FR0000050353,32.75,33.20000076293945,32.650001525878906,32.900001525878906,13363
2025-06-03,FR0000050353,33.099998474121094,33.400001525878906,32.79999923706055,33.25,7908
2025-06-04,FR0000050353,33.29999923706055,34.0,33.29999923706055,33.650001525878906,65920
2025-06-05,FR0000050353,33.650001525878906,34.29999923706055,33.5,33.849998474121094,22207
2025-06-06,FR0000050353,34.0,34.0,33.0,33.04999923706055,9468
2025-06-09,FR0000050353,33.150001525878906,33.20000076293945,32.650001525878906,32.75,8185
2025-06-10,FR0000050353,32.75,32.79999923706055,31.0,31.149999618530273,25796
2025-06-11,FR0000050353,31.149999618530273,31.75,31.149999618530273,31.149999618530273,10631
2025-06-12,FR0000050353,31.299999237060547,31.600000381469727,31.149999618530273,31.450000762939453,108531
2025-06-13,FR0000050353,31.200000762939453,31.700000762939453,31.149999618530273,31.5,27364
2025-06-16,FR0000050353,31.75,32.400001525878906,31.75,32.04999923706055,15898
2025-06-17,FR0000050353,32.0,32.099998474121094,31.450000762939453,32.0,16415
2025-06-18,FR0000050353,31.899999618530273,32.5,31.700000762939453,32.29999923706055,19317
2025-06-19,FR0000050353,32.20000076293945,32.650001525878906,31.899999618530273,32.400001525878906,10058
2025-06-20,FR0000050353,32.45000076293945,33.150001525878906,32.45000076293945,33.04999923706055,16729
2025-06-23,FR0000050353,32.95000076293945,33.349998474121094,32.599998474121094,33.20000076293945,28952
2025-06-24,FR0000050353,33.29999923706055,34.599998474121094,33.25,34.400001525878906,49328
2025-06-25,FR0000050353,34.29999923706055,35.900001525878906,34.29999923706055,35.900001525878906,31164
2025-06-26,FR0000050353,36.099998474121094,36.29999923706055,35.349998474121094,35.650001525878906,30096
2025-06-27,FR0000050353,35.849998474121094,37.599998474121094,35.70000076293945,37.599998474121094,20469
2025-06-30,FR0000050353,37.79999923706055,38.349998474121094,37.349998474121094,37.79999923706055,38014
2025-07-01,FR0000050353,37.79999923706055,38.0,36.20000076293945,36.20000076293945,28726
2025-07-02,FR0000050353,36.20000076293945,36.900001525878906,36.04999923706055,36.25,15314
2025-07-03,FR0000050353,36.5,36.5,35.95000076293945,36.5,33006
2025-07-04,FR0000050353,36.5,36.79999923706055,36.0,36.70000076293945,36060
2025-07-07,FR0000050353,36.599998474121094,38.29999923706055,36.599998474121094,38.29999923706055,17998
2025-07-08,FR0000050353,38.45000076293945,38.79999923706055,37.70000076293945,37.95000076293945,17695
2025-07-09,FR0000050353,37.900001525878906,38.599998474121094,37.900001525878906,38.349998474121094,15196
2025-07-10,FR0000050353,39.29999923706055,41.54999923706055,38.70000076293945,40.25,46286
2025-07-11,FR0000050353,39.0,39.599998474121094,38.5,38.79999923706055,33058
2025-07-14,FR0000050353,38.45000076293945,39.650001525878906,38.45000076293945,39.400001525878906,35533
2025-07-15,FR0000050353,39.70000076293945,39.70000076293945,38.79999923706055,38.849998474121094,21791
2025-07-16,FR0000050353,38.849998474121094,38.900001525878906,37.849998474121094,37.849998474121094,13655
2025-07-17,FR0000050353,38.099998474121094,39.04999923706055,37.95000076293945,38.900001525878906,22357
2025-07-18,FR0000050353,38.849998474121094,39.099998474121094,38.70000076293945,39.099998474121094,24513
2025-07-21,FR0000050353,39.0,39.099998474121094,38.599998474121094,39.099998474121094,10370
2025-07-22,FR0000050353,39.0,39.0,37.75,37.79999923706055,19366
2025-07-23,FR0000050353,38.20000076293945,38.20000076293945,37.349998474121094,37.400001525878906,36398
2025-07-24,FR0000050353,37.349998474121094,38.79999923706055,37.099998474121094,38.400001525878906,35931
2025-07-25,FR0000050353,39.349998474121094,42.0,36.20000076293945,41.20000076293945,207259
2025-07-28,FR0000050353,40.849998474121094,44.70000076293945,40.75,42.95000076293945,67677
2025-07-29,FR0000050353,43.20000076293945,45.75,42.79999923706055,45.5,59538
2025-07-30,FR0000050353,44.95000076293945,48.0,44.95000076293945,48.0,56456
2025-07-31,FR0000050353,47.20000076293945,49.29999923706055,47.099998474121094,47.400001525878906,48331
2025-08-01,FR0000050353,46.45000076293945,46.95000076293945,45.400001525878906,46.0,57667
2025-08-04,FR0000050353,46.25,47.20000076293945,45.70000076293945,47.150001525878906,36399
2025-08-05,FR0000050353,47.099998474121094,48.099998474121094,47.0,47.5,34354
2025-08-06,FR0000050353,47.79999923706055,48.70000076293945,47.650001525878906,48.20000076293945,24614
2025-08-07,FR0000050353,48.150001525878906,48.599998474121094,47.70000076293945,47.70000076293945,25618
2025-08-08,FR0000050353,47.70000076293945,47.95000076293945,46.75,46.75,30811
2025-08-11,FR0000050353,46.5,46.5,45.25,46.0,32032
2025-08-12,FR0000050353,46.0,46.400001525878906,45.099998474121094,46.400001525878906,22863
2025-08-13,FR0000050353,46.45000076293945,47.20000076293945,45.79999923706055,45.849998474121094,17700
2025-08-14,FR0000050353,46.04999923706055,47.25,46.04999923706055,46.45000076293945,26932
2025-08-15,FR0000050353,46.900001525878906,46.900001525878906,45.54999923706055,45.599998474121094,15522
2025-08-18,FR0000050353,45.5,46.25,45.5,46.0,15161
2025-08-19,FR0000050353,45.900001525878906,45.900001525878906,44.79999923706055,44.79999923706055,15979
2025-08-20,FR0000050353,44.20000076293945,45.04999923706055,44.0,44.25,17745
2025-08-21,FR0000050353,44.349998474121094,44.900001525878906,44.25,44.849998474121094,15611
2025-08-22,FR0000050353,44.79999923706055,45.45000076293945,44.650001525878906,45.400001525878906,15649
2025-08-25,FR0000050353,45.400001525878906,45.650001525878906,45.04999923706055,45.25,11745
2025-08-26,FR0000050353,44.0,44.349998474121094,43.04999923706055,44.150001525878906,51856
2025-08-27,FR0000050353,44.349998474121094,44.400001525878906,43.099998474121094,43.29999923706055,23625
2025-08-28,FR0000050353,43.20000076293945,43.849998474121094,43.04999923706055,43.400001525878906,23732
2025-08-29,FR0000050353,43.400001525878906,46.29999923706055,43.400001525878906,45.400001525878906,32811
